model,auuc,auuc_ci_low,auuc_ci_high,qini,qini_ci_low,qini_ci_high,uplift_at_10,uplift_at_20,uplift_at_30,n_holdout
x_learner_catboost,0.012474827085721939,0.01036377549029736,0.01513311205635713,0.0041764889068653275,0.0030715660434360594,0.005310872224234793,0.11300677825169458,0.08138391419444063,0.07551730607997109,40011
t_learner_catboost,0.012000245664462533,0.009429241119304594,0.014913752741522452,0.003701907485605922,0.002563903401640779,0.005079227743080768,0.10200977550244383,0.07039166088373672,0.0638559144609504,40011
transformer_two_head,0.009971302299691823,0.007521564948678096,0.012747421955573685,0.0016729641208352106,0.0003387395500939408,0.0029042844511108826,0.09285527321381826,0.0652730648929099,0.04808467022809093,40011
random_targeting,0.00902958826625358,0.006415232138483143,0.01194497965102135,0.0007312500873969678,-0.0007925222043590895,0.0021145808226869546,0.05362201340550343,0.04596220269460172,0.03740758947636258,40011
response_catboost,0.006807377984924608,0.0050637471568465995,0.009103519274367776,-0.0014909601939320039,-0.0025462816068965916,-0.00029730976420969845,-0.0025457506364376936,0.010936017362661588,0.021913364038100958,40011
